title,description,question1,answer1_1,answer1_2,question2,answer2_1,answer2_2
Favorite Foods,What are your favorite foods?,What is your favorite food?,Pizza,Sushi,What food do you dislike?,Broccoli,Asparagus
Favorite Colors,What are your favorite colors?,What is your favorite color?,Blue,Green,What color do you dislike?,Yellow,Orange
Travel Destinations,Where do you want to travel?,What is your dream destination?,Japan,France,What destination do you not want to visit?,China,Russia
Sports Preferences,What are your favorite sports?,Which sports do you like to play?,Football,Basketball,Which sports do you dislike?,Tennis,Golf
Favorite Movies,What are your favorite movies?,What is your favorite movie?,The Godfather,Star Wars,What movie do you dislike?,Transformers,The Twilight Saga
Favorite TV Shows,What are your favorite TV shows?,What is your favorite TV show?,Breaking Bad,Game of Thrones,What TV show do you dislike?,The Big Bang Theory,Friends
Favorite Music Genres,What are your favorite music genres?,What is your favorite music genre?,Rock,Pop,What music genre do you dislike?,Country,Rap
Holiday Traditions,What are your favorite holiday traditions?,What is your favorite holiday?,Christmas,Halloween,What holiday do you not enjoy?,Thanksgiving,Easter
Technology Habits,What technology do you use daily?,What is your favorite device?,Smartphone,Laptop,What technology do you dislike?,Tablet,Smartwatch
Reading Habits,What are your favorite types of books?,What is your favorite book?,Fantasy,Mystery,What type of book do you dislike?,Romance,Biography
Fashion Preferences,What are your fashion preferences?,What is your favorite clothing brand?,Nike,Adidas,What fashion do you dislike?,Crocs,Fanny Packs
Favorite Hobbies,What are your favorite hobbies?,What is your favorite hobby?,Video Games,Photography,What hobby do you dislike?,Knitting,Scrapbooking
Social Media Habits,What social media do you use frequently?,What is your favorite social media?,Instagram,Facebook,What social media do you dislike?,Twitter,LinkedIn
Favorite Sports Teams,What are your favorite sports teams?,What is your favorite team?,Manchester United,New York Yankees,What team do you dislike?,Los Angeles Lakers,Boston Red Sox
Fitness Habits,What are your fitness habits?,What is your favorite exercise?,Running,Weightlifting,What exercise do you dislike?,Yoga,Pilates
Favorite TV Channels,What are your favorite TV channels?,What is your favorite TV channel?,HBO,CNN,What TV channel do you dislike?,Fox News,MTV
Favorite Video Games,What are your favorite video games?,What is your favorite game?,Minecraft,Call of Duty,What video game do you dislike?,Fortnite,The Sims
Favorite Apps,What are your favorite apps?,What is your favorite app?,Spotify,Netflix,What app do you dislike?,TikTok,Snapchat
Favorite Websites,What are your favorite websites?,What is your favorite website?,YouTube,Wikipedia,What website do you dislike?,BuzzFeed,BuzzFeed News
Favorite Animals,What are your favorite animals?,What is your favorite animal?,Dogs,Cats,What animal do you dislike?,Snakes,Spiders
